H1	H2	H3	nABBA	nBABA	Dstat	jackEst	SE	Z	
G.sonneratti	Fiji_11700	G.lafayette	110632	389706	-0.5577709	-0.5577709	0.00172484	-323.3754	
G.sonneratti	Ifugao_132	G.lafayette	107412	380001	-0.5592567	-0.5592567	0.001667014	-335.4841	
Fiji_11700	Ifugao_132	G.lafayette	78828	79567	-0.004665551	-0.004665551	0.002849385	-1.637389	
G.sonneratti	Marquesas_9034	G.lafayette	111889	392872	-0.5566654	-0.5566654	0.001688352	-329.7094	
Fiji_11700	Marquesas_9034	G.lafayette	80378	81476	-0.006783892	-0.006783892	0.002803177	-2.420073	
Ifugao_132	Marquesas_9034	G.lafayette	80183	80543	-0.002239837	-0.002239837	0.002783647	-0.804641	
G.sonneratti	Palawan_237	G.lafayette	114968	406104	-0.5587251	-0.5587251	0.001651867	-338.2385	
Fiji_11700	Palawan_237	G.lafayette	83145	84207	-0.006345906	-0.006345906	0.002788334	-2.275878	
Ifugao_132	Palawan_237	G.lafayette	82681	82631	0.0003024584	0.0003024584	0.002727825	0.110879	
Marquesas_9034	Palawan_237	G.lafayette	85471	85466	2.925054e-05	2.925054e-05	0.002680562	0.01091209	
G.sonneratti	Vanuatu_11740	G.lafayette	20531	69235	-0.5425662	-0.5425662	0.003952712	-137.2643	
Fiji_11700	Vanuatu_11740	G.lafayette	14849	15350	-0.01658995	-0.01658995	0.006480459	-2.559997	
Ifugao_132	Vanuatu_11740	G.lafayette	15082	15123	-0.001357391	-0.001357391	0.006425337	-0.211256	
Marquesas_9034	Vanuatu_11740	G.lafayette	15222	15389	-0.005455555	-0.005455555	0.006390904	-0.8536438	
Palawan_237	Vanuatu_11740	G.lafayette	15957	16123	-0.005174564	-0.005174564	0.006326797	-0.8178805	
G.lafayette	Fiji_11700	G.sonneratti	118303	389706	-0.5342484	-0.5342484	0.001712164	-312.0311	
G.lafayette	Ifugao_132	G.sonneratti	115203	380001	-0.5347251	-0.5347251	0.001769014	-302.2729	
Fiji_11700	Ifugao_132	G.sonneratti	82238	82785	-0.003314689	-0.003314689	0.002921064	-1.134754	
G.lafayette	Marquesas_9034	G.sonneratti	119466	392872	-0.5336438	-0.5336438	0.001749264	-305.0677	
Fiji_11700	Marquesas_9034	G.sonneratti	84608	85682	-0.006306888	-0.006306888	0.002849438	-2.213379	
Ifugao_132	Marquesas_9034	G.sonneratti	83865	84167	-0.001797277	-0.001797277	0.002761397	-0.6508579	
G.lafayette	Palawan_237	G.sonneratti	122191	406104	-0.5374138	-0.5374138	0.001673548	-321.1224	
Fiji_11700	Palawan_237	G.sonneratti	85974	87808	-0.01055345	-0.01055345	0.002916629	-3.618373	
Ifugao_132	Palawan_237	G.sonneratti	85232	85662	-0.00251618	-0.00251618	0.002769298	-0.9085984	
Marquesas_9034	Palawan_237	G.sonneratti	88952	89446	-0.002769089	-0.002769089	0.002741292	-1.01014	
G.lafayette	Vanuatu_11740	G.sonneratti	21529	69235	-0.5256049	-0.5256049	0.003896565	-134.8893	
Fiji_11700	Vanuatu_11740	G.sonneratti	15402	15884	-0.01540625	-0.01540625	0.006549302	-2.35235	
Ifugao_132	Vanuatu_11740	G.sonneratti	15526	15634	-0.003465982	-0.003465982	0.006466841	-0.5359621	
Marquesas_9034	Vanuatu_11740	G.sonneratti	15790	15883	-0.002936255	-0.002936255	0.006526948	-0.4498665	
Palawan_237	Vanuatu_11740	G.sonneratti	16468	16589	-0.003660344	-0.003660344	0.006376522	-0.5740346	
G.lafayette	G.sonneratti	Fiji_11700	118303	110632	0.03350733	0.03350733	0.002451317	13.66911	
G.lafayette	Ifugao_132	Fiji_11700	723149	79567	0.8017555	0.8017555	0.001329276	603.1519	
G.sonneratti	Ifugao_132	Fiji_11700	737251	82785	0.7980942	0.7980942	0.001300664	613.6052	
G.lafayette	Marquesas_9034	Fiji_11700	777300	81476	0.8102509	0.8102509	0.001197783	676.4589	
G.sonneratti	Marquesas_9034	Fiji_11700	796599	85682	0.8057716	0.8057716	0.001212772	664.4047	
Ifugao_132	Marquesas_9034	Fiji_11700	226163	213633	0.02849048	0.02849048	0.002320606	12.27717	
G.lafayette	Palawan_237	Fiji_11700	768857	84207	0.8025775	0.8025775	0.001217896	658.987	
G.sonneratti	Palawan_237	Fiji_11700	783001	87808	0.7983301	0.7983301	0.001263864	631.6583	
Ifugao_132	Palawan_237	Fiji_11700	219108	220733	-0.003694517	-0.003694517	0.002218975	-1.664965	
Marquesas_9034	Palawan_237	Fiji_11700	226012	241102	-0.03230475	-0.03230475	0.002229394	-14.49037	
G.lafayette	Vanuatu_11740	Fiji_11700	130705	15350	0.7898052	0.7898052	0.002819316	280.1407	
G.sonneratti	Vanuatu_11740	Fiji_11700	133798	15884	0.7877634	0.7877634	0.002830772	278.2857	
Ifugao_132	Vanuatu_11740	Fiji_11700	39560	37373	0.02842733	0.02842733	0.004513791	6.297885	
Marquesas_9034	Vanuatu_11740	Fiji_11700	39702	40258	-0.006953477	-0.006953477	0.00452764	-1.535784	
Palawan_237	Vanuatu_11740	Fiji_11700	41701	39532	0.02670097	0.02670097	0.004390116	6.082065	
G.lafayette	G.sonneratti	Ifugao_132	115203	107412	0.03499764	0.03499764	0.002414958	14.49203	
G.lafayette	Fiji_11700	Ifugao_132	723149	78828	0.8034158	0.8034158	0.001219328	658.9007	
G.sonneratti	Fiji_11700	Ifugao_132	737251	82238	0.7992944	0.7992944	0.001306788	611.6483	
G.lafayette	Marquesas_9034	Ifugao_132	735317	80543	0.8025568	0.8025568	0.001237356	648.6064	
G.sonneratti	Marquesas_9034	Ifugao_132	752035	84167	0.7986922	0.7986922	0.001280618	623.6773	
Fiji_11700	Marquesas_9034	Ifugao_132	212823	213633	-0.001899375	-0.001899375	0.002167252	-0.8763979	
G.lafayette	Palawan_237	Ifugao_132	740419	82631	0.7992078	0.7992078	0.001181101	676.6635	
G.sonneratti	Palawan_237	Ifugao_132	751793	85662	0.795423	0.795423	0.001231722	645.7813	
Fiji_11700	Palawan_237	Ifugao_132	215237	220733	-0.01260637	-0.01260637	0.002187565	-5.762743	
Marquesas_9034	Palawan_237	Ifugao_132	220344	225571	-0.01172196	-0.01172196	0.002207387	-5.310336	
G.lafayette	Vanuatu_11740	Ifugao_132	124666	15123	0.783631	0.783631	0.002845017	275.4399	
G.sonneratti	Vanuatu_11740	Ifugao_132	127326	15634	0.7812815	0.7812815	0.002984291	261.798	
Fiji_11700	Vanuatu_11740	Ifugao_132	37139	37373	-0.003140434	-0.003140434	0.004394388	-0.7146465	
Marquesas_9034	Vanuatu_11740	Ifugao_132	37730	38135	-0.00533843	-0.00533843	0.004501693	-1.185872	
Palawan_237	Vanuatu_11740	Ifugao_132	39561	38889	0.008565966	0.008565966	0.00428689	1.998177	
G.lafayette	G.sonneratti	Marquesas_9034	119466	111889	0.03275053	0.03275053	0.002384006	13.7376	
G.lafayette	Fiji_11700	Marquesas_9034	777300	80378	0.8125684	0.8125684	0.001182983	686.8807	
G.sonneratti	Fiji_11700	Marquesas_9034	796599	84608	0.8079725	0.8079725	0.001222265	661.0453	
G.lafayette	Ifugao_132	Marquesas_9034	735317	80183	0.8033525	0.8033525	0.001288507	623.4753	
G.sonneratti	Ifugao_132	Marquesas_9034	752035	83865	0.799342	0.799342	0.001291332	619.0058	
Fiji_11700	Ifugao_132	Marquesas_9034	212823	226163	-0.03038821	-0.03038821	0.0022697	-13.38865	
G.lafayette	Palawan_237	Marquesas_9034	781094	85466	0.8027465	0.8027465	0.001213806	661.3467	
G.sonneratti	Palawan_237	Marquesas_9034	798976	89446	0.7986407	0.7986407	0.001249747	639.0417	
Fiji_11700	Palawan_237	Marquesas_9034	224644	241102	-0.03533686	-0.03533686	0.002238598	-15.78526	
Ifugao_132	Palawan_237	Marquesas_9034	223773	225571	-0.004001389	-0.004001389	0.002233477	-1.791551	
G.lafayette	Vanuatu_11740	Marquesas_9034	133367	15389	0.7930974	0.7930974	0.002846447	278.6272	
G.sonneratti	Vanuatu_11740	Marquesas_9034	136883	15883	0.7920611	0.7920611	0.002927072	270.5984	
Fiji_11700	Vanuatu_11740	Marquesas_9034	40188	40258	-0.0008701489	-0.0008701489	0.00469032	-0.1855202	
Ifugao_132	Vanuatu_11740	Marquesas_9034	40842	38135	0.0342758	0.0342758	0.004475888	7.657878	
Palawan_237	Vanuatu_11740	Marquesas_9034	43158	40508	0.03167356	0.03167356	0.004566522	6.936036	
G.lafayette	G.sonneratti	Palawan_237	122191	114968	0.03045636	0.03045636	0.002318373	13.13696	
G.lafayette	Fiji_11700	Palawan_237	768857	83145	0.8048244	0.8048244	0.001201358	669.9291	
G.sonneratti	Fiji_11700	Palawan_237	783001	85974	0.8021255	0.8021255	0.001244057	644.7658	
G.lafayette	Ifugao_132	Palawan_237	740419	82681	0.7990985	0.7990985	0.001244226	642.2453	
G.sonneratti	Ifugao_132	Palawan_237	751793	85232	0.7963454	0.7963454	0.00124697	638.6244	
Fiji_11700	Ifugao_132	Palawan_237	215237	219108	-0.00891227	-0.00891227	0.00223108	-3.994599	
G.lafayette	Marquesas_9034	Palawan_237	781094	85471	0.8027361	0.8027361	0.001219995	657.9829	
G.sonneratti	Marquesas_9034	Palawan_237	798976	88952	0.7996414	0.7996414	0.001249483	639.9778	
Fiji_11700	Marquesas_9034	Palawan_237	224644	226012	-0.003035575	-0.003035575	0.002218949	-1.368024	
Ifugao_132	Marquesas_9034	Palawan_237	223773	220344	0.007720938	0.007720938	0.002240272	3.44643	
G.lafayette	Vanuatu_11740	Palawan_237	132829	16123	0.7835142	0.7835142	0.002846217	275.2827	
G.sonneratti	Vanuatu_11740	Palawan_237	135536	16589	0.781903	0.781903	0.002926888	267.1448	
Fiji_11700	Vanuatu_11740	Palawan_237	39067	39532	-0.005916106	-0.005916106	0.004318494	-1.369947	
Ifugao_132	Vanuatu_11740	Palawan_237	39484	38889	0.0075919	0.0075919	0.004373204	1.736004	
Marquesas_9034	Vanuatu_11740	Palawan_237	40033	40508	-0.005897617	-0.005897617	0.004365116	-1.351079	
G.lafayette	G.sonneratti	Vanuatu_11740	21529	20531	0.02372801	0.02372801	0.005296172	4.480219	
G.lafayette	Fiji_11700	Vanuatu_11740	130705	14849	0.7959658	0.7959658	0.002759498	288.4459	
G.sonneratti	Fiji_11700	Vanuatu_11740	133798	15402	0.7935389	0.7935389	0.002788405	284.5852	
G.lafayette	Ifugao_132	Vanuatu_11740	124666	15082	0.7841543	0.7841543	0.002999361	261.4404	
G.sonneratti	Ifugao_132	Vanuatu_11740	127326	15526	0.7826282	0.7826282	0.003000066	260.8703	
Fiji_11700	Ifugao_132	Vanuatu_11740	37139	39560	-0.03156495	-0.03156495	0.004378001	-7.2099	
G.lafayette	Marquesas_9034	Vanuatu_11740	133367	15222	0.7951127	0.7951127	0.002847641	279.218	
G.sonneratti	Marquesas_9034	Vanuatu_11740	136883	15790	0.7931527	0.7931527	0.002834793	279.7921	
Fiji_11700	Marquesas_9034	Vanuatu_11740	40188	39702	0.006083365	0.006083365	0.00463684	1.311964	
Ifugao_132	Marquesas_9034	Vanuatu_11740	40842	37730	0.03960698	0.03960698	0.004461726	8.877054	
G.lafayette	Palawan_237	Vanuatu_11740	132829	15957	0.785504	0.785504	0.002787313	281.8141	
G.sonneratti	Palawan_237	Vanuatu_11740	135536	16468	0.7833215	0.7833215	0.002825816	277.2018	
Fiji_11700	Palawan_237	Vanuatu_11740	39067	41701	-0.03261193	-0.03261193	0.004432786	-7.356982	
Ifugao_132	Palawan_237	Vanuatu_11740	39484	39561	-0.0009741287	-0.0009741287	0.00443979	-0.2194087	
Marquesas_9034	Palawan_237	Vanuatu_11740	40033	43158	-0.03756416	-0.03756416	0.004464676	-8.413636	
