H1	H2	H3	nABBA	nBABA	Dstat	jackEst	SE	Z	
A15100_GL	A16282_GS	A15091_GV	201702	205817	-0.01009769	-0.01009769	0.001795781	-5.623007	
A15100_GL	Fiji_11700	A15091_GV	336548	264647	0.1195968	0.1195968	0.002233689	53.54228	
A16282_GS	Fiji_11700	A15091_GV	348197	269718	0.1270061	0.1270061	0.002169676	58.53691	
A15100_GL	Ifugao_132	A15091_GV	324703	257736	0.1149768	0.1149768	0.002461684	46.70659	
A16282_GS	Ifugao_132	A15091_GV	335412	262258	0.1223986	0.1223986	0.002343464	52.2298	
Fiji_11700	Ifugao_132	A15091_GV	141652	143993	-0.008195487	-0.008195487	0.002194589	-3.734406	
A15100_GL	Marquesas_9034	A15091_GV	346213	271670	0.1206426	0.1206426	0.002383259	50.62085	
A16282_GS	Marquesas_9034	A15091_GV	360295	278372	0.1282719	0.1282719	0.002370227	54.11796	
Fiji_11700	Marquesas_9034	A15091_GV	151901	153873	-0.006449208	-0.006449208	0.00244288	-2.640002	
Ifugao_132	Marquesas_9034	A15091_GV	150100	149062	0.003469692	0.003469692	0.002342655	1.481094	
A15100_GL	Palawan_237	A15091_GV	347935	279609	0.1088784	0.1088784	0.002363655	46.06358	
A16282_GS	Palawan_237	A15091_GV	358768	284047	0.1162403	0.1162403	0.002371606	49.01331	
Fiji_11700	Palawan_237	A15091_GV	149295	155928	-0.02173165	-0.02173165	0.002303678	-9.43346	
Ifugao_132	Palawan_237	A15091_GV	146804	150884	-0.01370562	-0.01370562	0.002121788	-6.459469	
Marquesas_9034	Palawan_237	A15091_GV	157659	163133	-0.01706402	-0.01706402	0.002204584	-7.740244	
A15100_GL	Vanuatu_11740	A15091_GV	58185	49106	0.08462033	0.08462033	0.003826196	22.11605	
A16282_GS	Vanuatu_11740	A15091_GV	60172	50313	0.08923383	0.08923383	0.003980285	22.41896	
Fiji_11700	Vanuatu_11740	A15091_GV	25679	28864	-0.05839429	-0.05839429	0.004858733	-12.01842	
Ifugao_132	Vanuatu_11740	A15091_GV	25843	28473	-0.04842035	-0.04842035	0.004835884	-10.01272	
Marquesas_9034	Vanuatu_11740	A15091_GV	27143	29945	-0.04908212	-0.04908212	0.004983396	-9.849131	
Palawan_237	Vanuatu_11740	A15091_GV	27797	29849	-0.03559657	-0.03559657	0.004946547	-7.196246	
A15091_GV	A16282_GS	A15100_GL	665178	205817	0.527398	0.527398	0.001807694	291.7519	
A15091_GV	Fiji_11700	A15100_GL	520296	264647	0.3256912	0.3256912	0.001982323	164.2977	
A16282_GS	Fiji_11700	A15100_GL	239600	482261	-0.3361603	-0.3361603	0.002971339	-113.1343	
A15091_GV	Ifugao_132	A15100_GL	499676	257736	0.3194298	0.3194298	0.00193607	164.9888	
A16282_GS	Ifugao_132	A15100_GL	230326	469603	-0.341859	-0.341859	0.002822583	-121.1156	
Fiji_11700	Ifugao_132	A15100_GL	138353	141116	-0.009886606	-0.009886606	0.002332721	-4.23823	
A15091_GV	Marquesas_9034	A15100_GL	532698	271670	0.3245132	0.3245132	0.001947185	166.6576	
A16282_GS	Marquesas_9034	A15100_GL	246530	492493	-0.3328218	-0.3328218	0.002893858	-115.0098	
Fiji_11700	Marquesas_9034	A15100_GL	146193	149692	-0.01182554	-0.01182554	0.002209164	-5.352947	
Ifugao_132	Marquesas_9034	A15100_GL	145420	145142	0.0009567665	0.0009567665	0.002282161	0.4192372	
A15091_GV	Palawan_237	A15100_GL	534519	279609	0.313108	0.313108	0.001869116	167.5167	
A16282_GS	Palawan_237	A15100_GL	247259	506525	-0.3439526	-0.3439526	0.002759023	-124.6647	
Fiji_11700	Palawan_237	A15100_GL	145081	152238	-0.02407179	-0.02407179	0.002275577	-10.57832	
Ifugao_132	Palawan_237	A15100_GL	143529	146955	-0.01179411	-0.01179411	0.002138476	-5.515194	
Marquesas_9034	Palawan_237	A15100_GL	153480	157411	-0.0126443	-0.0126443	0.002314012	-5.464233	
A15091_GV	Vanuatu_11740	A15100_GL	88738	49106	0.2875134	0.2875134	0.003199484	89.86244	
A16282_GS	Vanuatu_11740	A15100_GL	42014	87259	-0.3499957	-0.3499957	0.003971185	-88.13383	
Fiji_11700	Vanuatu_11740	A15100_GL	25048	28076	-0.05699872	-0.05699872	0.004801293	-11.87154	
Ifugao_132	Vanuatu_11740	A15100_GL	25295	27665	-0.04475076	-0.04475076	0.00455881	-9.816323	
Marquesas_9034	Vanuatu_11740	A15100_GL	26408	29039	-0.04745072	-0.04745072	0.004857169	-9.769212	
Palawan_237	Vanuatu_11740	A15100_GL	27071	28939	-0.03335119	-0.03335119	0.004641363	-7.185646	
A15091_GV	A15100_GL	A16282_GS	665178	201702	0.5346484	0.5346484	0.001839441	290.6582	
A15091_GV	Fiji_11700	A16282_GS	543904	269718	0.3369943	0.3369943	0.001857724	181.4017	
A15100_GL	Fiji_11700	A16282_GS	243843	482261	-0.3283524	-0.3283524	0.002816685	-116.5741	
A15091_GV	Ifugao_132	A16282_GS	521033	262258	0.3303689	0.3303689	0.001816724	181.8487	
A15100_GL	Ifugao_132	A16282_GS	234659	469603	-0.3336031	-0.3336031	0.002844911	-117.2631	
Fiji_11700	Ifugao_132	A16282_GS	144317	147031	-0.009315321	-0.009315321	0.002946579	-3.161402	
A15091_GV	Marquesas_9034	A16282_GS	560105	278372	0.3360056	0.3360056	0.001910459	175.877	
A15100_GL	Marquesas_9034	A16282_GS	250415	492493	-0.3258519	-0.3258519	0.002911813	-111.9069	
Fiji_11700	Marquesas_9034	A16282_GS	154578	157893	-0.01060898	-0.01060898	0.002771289	-3.828177	
Ifugao_132	Marquesas_9034	A16282_GS	152690	151879	0.002662779	0.002662779	0.00246152	1.081762	
A15091_GV	Palawan_237	A16282_GS	556346	284047	0.3240139	0.3240139	0.001739855	186.2304	
A15100_GL	Palawan_237	A16282_GS	250603	506525	-0.3380168	-0.3380168	0.002605976	-129.7083	
Fiji_11700	Palawan_237	A16282_GS	150703	158825	-0.02623995	-0.02623995	0.00291908	-8.989117	
Ifugao_132	Palawan_237	A16282_GS	148914	153262	-0.01438897	-0.01438897	0.002528537	-5.69063	
Marquesas_9034	Palawan_237	A16282_GS	160426	165621	-0.01593329	-0.01593329	0.002628044	-6.062792	
A15091_GV	Vanuatu_11740	A16282_GS	92934	50313	0.297535	0.297535	0.003174698	93.72074	
A15100_GL	Vanuatu_11740	A16282_GS	42108	87259	-0.3490148	-0.3490148	0.004220211	-82.70079	
Fiji_11700	Vanuatu_11740	A16282_GS	25797	29265	-0.06298355	-0.06298355	0.004738795	-13.29105	
Ifugao_132	Vanuatu_11740	A16282_GS	26044	28726	-0.04896841	-0.04896841	0.004623719	-10.5907	
Marquesas_9034	Vanuatu_11740	A16282_GS	27452	30202	-0.04769834	-0.04769834	0.005130718	-9.296621	
Palawan_237	Vanuatu_11740	A16282_GS	27814	30026	-0.03824343	-0.03824343	0.004789075	-7.985557	
A15091_GV	A15100_GL	Fiji_11700	520296	336548	0.2144474	0.2144474	0.002701729	79.37414	
A15091_GV	A16282_GS	Fiji_11700	543904	348197	0.2193776	0.2193776	0.002517105	87.15472	
A15100_GL	A16282_GS	Fiji_11700	243843	239600	0.008776629	0.008776629	0.0019702	4.45469	
A15091_GV	Ifugao_132	Fiji_11700	1266662	143993	0.7958494	0.7958494	0.00220944	360.2041	
A15100_GL	Ifugao_132	Fiji_11700	975037	141116	0.7471386	0.7471386	0.00259394	288.0324	
A16282_GS	Ifugao_132	Fiji_11700	1010371	147031	0.7459292	0.7459292	0.002707565	275.4982	
A15091_GV	Marquesas_9034	Fiji_11700	1402919	153873	0.8023204	0.8023204	0.002275435	352.6008	
A15100_GL	Marquesas_9034	Fiji_11700	1074403	149692	0.7554242	0.7554242	0.002638582	286.2993	
A16282_GS	Marquesas_9034	Fiji_11700	1123571	157893	0.753574	0.753574	0.002814731	267.7251	
Ifugao_132	Marquesas_9034	Fiji_11700	325426	306438	0.03005077	0.03005077	0.004460261	6.737447	
A15091_GV	Palawan_237	Fiji_11700	1344856	155928	0.7922046	0.7922046	0.002259281	350.6446	
A15100_GL	Palawan_237	Fiji_11700	1035572	152238	0.7436661	0.7436661	0.002632469	282.4975	
A16282_GS	Palawan_237	Fiji_11700	1072463	158825	0.7420181	0.7420181	0.002795347	265.4476	
Ifugao_132	Palawan_237	Fiji_11700	303255	310328	-0.01152737	-0.01152737	0.004319215	-2.668859	
Marquesas_9034	Palawan_237	Fiji_11700	323820	351176	-0.04052765	-0.04052765	0.004668065	-8.681894	
A15091_GV	Vanuatu_11740	Fiji_11700	225513	28864	0.7730612	0.7730612	0.002579928	299.6446	
A15100_GL	Vanuatu_11740	Fiji_11700	173626	28076	0.7216091	0.7216091	0.003029703	238.1781	
A16282_GS	Vanuatu_11740	Fiji_11700	181190	29265	0.7218883	0.7218883	0.002951376	244.5938	
Ifugao_132	Vanuatu_11740	Fiji_11700	53627	54304	-0.006272526	-0.006272526	0.005325242	-1.177886	
Marquesas_9034	Vanuatu_11740	Fiji_11700	56364	60490	-0.03530902	-0.03530902	0.005007324	-7.051474	
Palawan_237	Vanuatu_11740	Fiji_11700	57509	57124	0.003358544	0.003358544	0.004874976	0.6889355	
A15091_GV	A15100_GL	Ifugao_132	499676	324703	0.2122482	0.2122482	0.002715723	78.15533	
A15091_GV	A16282_GS	Ifugao_132	521033	335412	0.2167343	0.2167343	0.002718894	79.71413	
A15100_GL	A16282_GS	Ifugao_132	234659	230326	0.00931858	0.00931858	0.001964524	4.743429	
A15091_GV	Fiji_11700	Ifugao_132	1266662	141652	0.7988346	0.7988346	0.00229606	347.9154	
A15100_GL	Fiji_11700	Ifugao_132	975037	138353	0.7514743	0.7514743	0.002607321	288.217	
A16282_GS	Fiji_11700	Ifugao_132	1010371	144317	0.7500329	0.7500329	0.002758248	271.9237	
A15091_GV	Marquesas_9034	Ifugao_132	1317001	149062	0.7966499	0.7966499	0.002262499	352.1106	
A15100_GL	Marquesas_9034	Ifugao_132	1009814	145142	0.7486623	0.7486623	0.00254572	294.0867	
A16282_GS	Marquesas_9034	Ifugao_132	1053100	151879	0.7479143	0.7479143	0.002637646	283.5537	
Fiji_11700	Marquesas_9034	Ifugao_132	305026	306438	-0.002309212	-0.002309212	0.003982545	-0.5798333	
A15091_GV	Palawan_237	Ifugao_132	1284263	150884	0.7897303	0.7897303	0.002192484	360.1988	
A15100_GL	Palawan_237	Ifugao_132	991018	146955	0.741725	0.741725	0.002453595	302.3013	
A16282_GS	Palawan_237	Ifugao_132	1023032	153262	0.7394155	0.7394155	0.002572959	287.3794	
Fiji_11700	Palawan_237	Ifugao_132	295040	310328	-0.02525406	-0.02525406	0.004161319	-6.068764	
Marquesas_9034	Palawan_237	Ifugao_132	310814	325949	-0.02376865	-0.02376865	0.004345165	-5.470138	
A15091_GV	Vanuatu_11740	Ifugao_132	213739	28473	0.7648919	0.7648919	0.00265808	287.761	
A15100_GL	Vanuatu_11740	Ifugao_132	165443	27665	0.7134764	0.7134764	0.003065132	232.7719	
A16282_GS	Vanuatu_11740	Ifugao_132	171784	28726	0.7134706	0.7134706	0.002981969	239.2616	
Fiji_11700	Vanuatu_11740	Ifugao_132	50374	54304	-0.03754371	-0.03754371	0.004440574	-8.454696	
Marquesas_9034	Vanuatu_11740	Ifugao_132	53382	57372	-0.03602579	-0.03602579	0.00497156	-7.246374	
Palawan_237	Vanuatu_11740	Ifugao_132	53889	55684	-0.01638177	-0.01638177	0.004736286	-3.45878	
A15091_GV	A15100_GL	Marquesas_9034	532698	346213	0.2121773	0.2121773	0.002847642	74.50983	
A15091_GV	A16282_GS	Marquesas_9034	560105	360295	0.2170904	0.2170904	0.00273002	79.51972	
A15100_GL	A16282_GS	Marquesas_9034	250415	246530	0.007817767	0.007817767	0.002051774	3.810247	
A15091_GV	Fiji_11700	Marquesas_9034	1402919	151901	0.8046063	0.8046063	0.002453682	327.918	
A15100_GL	Fiji_11700	Marquesas_9034	1074403	146193	0.7604564	0.7604564	0.002722595	279.3131	
A16282_GS	Fiji_11700	Marquesas_9034	1123571	154578	0.7581221	0.7581221	0.002883515	262.916	
A15091_GV	Ifugao_132	Marquesas_9034	1317001	150100	0.7953788	0.7953788	0.002297307	346.2222	
A15100_GL	Ifugao_132	Marquesas_9034	1009814	145420	0.7482415	0.7482415	0.002587737	289.149	
A16282_GS	Ifugao_132	Marquesas_9034	1053100	152690	0.7467387	0.7467387	0.002681969	278.4292	
Fiji_11700	Ifugao_132	Marquesas_9034	305026	325426	-0.03235774	-0.03235774	0.004699195	-6.885805	
